"","k","f","type"
"薪資",3878,8,"薪資"
"謝",3879,8,"謝"
"賺到",3880,8,"賺到"
"賽",3881,8,"賽"
"趨勢",3882,8,"趨勢"
"隱板",3883,8,"隱板"
"韓國",3884,8,"韓國"
"瀆職",3885,8,"瀆職"
"轉寄",3886,8,"轉寄"
"雜誌",3887,8,"雜誌"
"離職",3888,8,"離職"
"壞掉",3889,8,"壞掉"
"曝光",3890,8,"曝光"
"爆增",3891,8,"爆增"
"羅百吉",3892,8,"羅百吉"
"難說",3893,8,"難說"
"齁",3894,8,"齁"
"競選",3895,8,"競選"
"贏得",3896,8,"贏得"
"屬實",3897,8,"屬實"
"灌",3898,8,"灌"
"露",3899,8,"露"
"驗票",3900,8,"驗票"
"觀感",3901,8,"觀感"
"︿",3902,7,"︿"
"﹀",3903,7,"﹀"
"03",3904,7,"03"
"1007",3905,7,"1007"
"14",3906,7,"14"
"29",3907,7,"29"
"2月",3908,7,"2月"
"4000",3909,7,"4000"
"45",3910,7,"45"
"81",3911,7,"81"
"C_JapanBoard",3912,7,"C_JapanBoard"
"DVD",3913,7,"DVD"
"Ed",3914,7,"Ed"
"Hardy",3915,7,"Hardy"
"linchainwen",3916,7,"linchainwen"
"louisman",3917,7,"louisman"
"lpboy",3918,7,"lpboy"
"magecandy",3919,7,"magecandy"
"MSN",3920,7,"MSN"
"nice",3921,7,"nice"
"Resco",3922,7,"Resco"
"RIP",3923,7,"RIP"
"sex",3924,7,"sex"
"TEST",3925,7,"TEST"
"VS",3926,7,"VS"
"W",3927,7,"W"
"xAirintoro",3928,7,"xAirintoro"
"you",3929,7,"you"
"youku",3930,7,"youku"
"zzzzzzz",3931,7,"zzzzzzz"
"一千",3932,7,"一千"
"一家人",3933,7,"一家人"
"人間",3934,7,"人間"
"人腦",3935,7,"人腦"
"八點檔",3936,7,"八點檔"
"三字經",3937,7,"三字經"
"上台",3938,7,"上台"
"上色",3939,7,"上色"
"下跪",3940,7,"下跪"
"下賤",3941,7,"下賤"
"凡",3942,7,"凡"
"大戶",3943,7,"大戶"
"大作",3944,7,"大作"
"大事",3945,7,"大事"
"大型",3946,7,"大型"
"大義滅親",3947,7,"大義滅親"
"小玲",3948,7,"小玲"
"不及",3949,7,"不及"
"不良",3950,7,"不良"
"不斷",3951,7,"不斷"
"之所以",3952,7,"之所以"
"五百",3953,7,"五百"
"仁慈",3954,7,"仁慈"
"內情",3955,7,"內情"
"公分",3956,7,"公分"
"分布",3957,7,"分布"
"分別",3958,7,"分別"
"切割",3959,7,"切割"
"反抗",3960,7,"反抗"
"天刀峰",3961,7,"天刀峰"
"天才",3962,7,"天才"
"太晚",3963,7,"太晚"
"日文",3964,7,"日文"
"比如",3965,7,"比如"
"比起",3966,7,"比起"
"世上",3967,7,"世上"
"世家",3968,7,"世家"
"丙",3969,7,"丙"
"乎",3970,7,"乎"
"仔",3971,7,"仔"
"出入",3972,7,"出入"
"功課",3973,7,"功課"
"加薪",3974,7,"加薪"
"包含",3975,7,"包含"
"包庇",3976,7,"包庇"
"北川",3977,7,"北川"
"北市府",3978,7,"北市府"
"北部",3979,7,"北部"
"叭叭",3980,7,"叭叭"
"台獨",3981,7,"台獨"
"市議員",3982,7,"市議員"
"布局",3983,7,"布局"
"打開",3984,7,"打開"
"未必",3985,7,"未必"
"本事",3986,7,"本事"
"正好",3987,7,"正好"
"正妹",3988,7,"正妹"
"正義感",3989,7,"正義感"
"民選",3990,7,"民選"
"立",3991,7,"立"
"交",3992,7,"交"
"任務",3993,7,"任務"
"全球",3994,7,"全球"
"再見",3995,7,"再見"
"名間",3996,7,"名間"
"回歸",3997,7,"回歸"
"地區",3998,7,"地區"
"地理",3999,7,"地理"
"地檢署",4000,7,"地檢署"
"多半",4001,7,"多半"
"多重",4002,7,"多重"
"多麼",4003,7,"多麼"
"好少",4004,7,"好少"
"好歹",4005,7,"好歹"
"安排",4006,7,"安排"
"成長",4007,7,"成長"
"扣款",4008,7,"扣款"
"收入",4009,7,"收入"
"早期",4010,7,"早期"
"早餐",4011,7,"早餐"
"有時",4012,7,"有時"
"死光",4013,7,"死光"
"米",4014,7,"米"
"考究",4015,7,"考究"
"考量",4016,7,"考量"
"考試",4017,7,"考試"
"而後",4018,7,"而後"
"自由時報",4019,7,"自由時報"
"自重",4020,7,"自重"
"西瓜",4021,7,"西瓜"
"串供",4022,7,"串供"
"余文",4023,7,"余文"
"免得",4024,7,"免得"
"即將",4025,7,"即將"
"吞",4026,7,"吞"
"吸食",4027,7,"吸食"
"告知",4028,7,"告知"
"完畢",4029,7,"完畢"
"完蛋",4030,7,"完蛋"
"巫云鈞",4031,7,"巫云鈞"
"弄死",4032,7,"弄死"
"快報",4033,7,"快報"
"技巧",4034,7,"技巧"
"技能",4035,7,"技能"
"抖",4036,7,"抖"
"更加",4037,7,"更加"
"李子賀",4038,7,"李子賀"
"李維拉",4039,7,"李維拉"
"沒有用",4040,7,"沒有用"
"私底下",4041,7,"私底下"
"私怨",4042,7,"私怨"
"良知",4043,7,"良知"
"走向",4044,7,"走向"
"足以",4045,7,"足以"
"那裏",4046,7,"那裏"
"防災",4047,7,"防災"
"事業",4048,7,"事業"
"亞洲",4049,7,"亞洲"
"來自",4050,7,"來自"
"來往",4051,7,"來往"
"供",4052,7,"供"
"卷",4053,7,"卷"
"取得",4054,7,"取得"
"取暖",4055,7,"取暖"
"和解",4056,7,"和解"
"坡度",4057,7,"坡度"
"奇",4058,7,"奇"
"奈米",4059,7,"奈米"
"姐",4060,7,"姐"
"姓氏",4061,7,"姓氏"
"官派",4062,7,"官派"
"定位",4063,7,"定位"
"居多",4064,7,"居多"
"房子",4065,7,"房子"
"承擔",4066,7,"承擔"
"抵制",4067,7,"抵制"
"拉拉",4068,7,"拉拉"
"放上去",4069,7,"放上去"
"放大",4070,7,"放大"
"明年",4071,7,"明年"
"明星",4072,7,"明星"
"服務",4073,7,"服務"
"服務處",4074,7,"服務處"
"松花江",4075,7,"松花江"
"林洋港",4076,7,"林洋港"
"武士",4077,7,"武士"
"泛藍",4078,7,"泛藍"
"玩家",4079,7,"玩家"
"知名",4080,7,"知名"
"花姐",4081,7,"花姐"
"表率",4082,7,"表率"
"門徒",4083,7,"門徒"
"阿拉伯",4084,7,"阿拉伯"
"阿阿",4085,7,"阿阿"
"附",4086,7,"附"
"保持",4087,7,"保持"
"前提",4088,7,"前提"
"勇",4089,7,"勇"
"南科",4090,7,"南科"
"南部人",4091,7,"南部人"
"城市",4092,7,"城市"
"姦",4093,7,"姦"
"客觀",4094,7,"客觀"
"帥哥",4095,7,"帥哥"
"待會",4096,7,"待會"
"按照",4097,7,"按照"
"挖出來",4098,7,"挖出來"
"洗面",4099,7,"洗面"
"流傳",4100,7,"流傳"
"炮",4101,7,"炮"
"甚",4102,7,"甚"
"相",4103,7,"相"
"相比",4104,7,"相比"
"相簿",4105,7,"相簿"
"看得出來",4106,7,"看得出來"
"研究生",4107,7,"研究生"
"科目",4108,7,"科目"
"科系",4109,7,"科系"
"突破",4110,7,"突破"
"耍",4111,7,"耍"
"背書",4112,7,"背書"
"要命",4113,7,"要命"
"計較",4114,7,"計較"
"負面",4115,7,"負面"
"軍事",4116,7,"軍事"
"迫害",4117,7,"迫害"
"重罪",4118,7,"重罪"
"個性",4119,7,"個性"
"倒退",4120,7,"倒退"
"冤獄",4121,7,"冤獄"
"原始",4122,7,"原始"
"原則",4123,7,"原則"
"家族",4124,7,"家族"
"捐款",4125,7,"捐款"
"時機",4126,7,"時機"
"格調",4127,7,"格調"
"案例",4128,7,"案例"
"海珊",4129,7,"海珊"
"涉及",4130,7,"涉及"
"留下來",4131,7,"留下來"
"真心",4132,7,"真心"
"祖國",4133,7,"祖國"
"純度",4134,7,"純度"
"素養",4135,7,"素養"
"草",4136,7,"草"
"訓練",4137,7,"訓練"
"記憶體",4138,7,"記憶體"
"追蹤",4139,7,"追蹤"
"退伍",4140,7,"退伍"
"退休",4141,7,"退休"
"酒井法子",4142,7,"酒井法子"
"馬皇",4143,7,"馬皇"
"鬼島",4144,7,"鬼島"
"乾淨",4145,7,"乾淨"
"偵查",4146,7,"偵查"
"偽善",4147,7,"偽善"
"副總統",4148,7,"副總統"
"唱歌",4149,7,"唱歌"
"問卦",4150,7,"問卦"
"問卷",4151,7,"問卷"
"培養",4152,7,"培養"
"將來",4153,7,"將來"
"崛起",4154,7,"崛起"
"得利",4155,7,"得利"
"從頭到尾",4156,7,"從頭到尾"
"情報",4157,7,"情報"
"情緒",4158,7,"情緒"
"掃帚仔",4159,7,"掃帚仔"
"掉下去",4160,7,"掉下去"
"採訪",4161,7,"採訪"
"接觸",4162,7,"接觸"
"推文數",4163,7,"推文數"
"推論",4164,7,"推論"
"教室",4165,7,"教室"
"殺光",4166,7,"殺光"
"清白",4167,7,"清白"
"爽快",4168,7,"爽快"
"牽",4169,7,"牽"
"牽強",4170,7,"牽強"
"現今",4171,7,"現今"
"現代",4172,7,"現代"
"現身說法",4173,7,"現身說法"
"現金",4174,7,"現金"
"理論",4175,7,"理論"
"眼前",4176,7,"眼前"
"眾多",4177,7,"眾多"
"移",4178,7,"移"
"粒",4179,7,"粒"
"終",4180,7,"終"
"莊",4181,7,"莊"
"處分",4182,7,"處分"
"規矩",4183,7,"規矩"
"設",4184,7,"設"
"設立",4185,7,"設立"
"設計師",4186,7,"設計師"
"軟件",4187,7,"軟件"
"軟體",4188,7,"軟體"
"透露",4189,7,"透露"
"造",4190,7,"造"
"連線",4191,7,"連線"
"陳衰扁",4192,7,"陳衰扁"
"備",4193,7,"備"
"報到",4194,7,"報到"
"報復",4195,7,"報復"
"報業",4196,7,"報業"
"就事論事",4197,7,"就事論事"
"提升",4198,7,"提升"
"換成",4199,7,"換成"
"智商",4200,7,"智商"
"期望",4201,7,"期望"
"森林",4202,7,"森林"
"殘酷",4203,7,"殘酷"
"無所謂",4204,7,"無所謂"
"無法無天",4205,7,"無法無天"
"無知",4206,7,"無知"
"無誤",4207,7,"無誤"
"發布",4208,7,"發布"
"發聲",4209,7,"發聲"
"稅金",4210,7,"稅金"
"程式",4211,7,"程式"
"稍",4212,7,"稍"
"稍微",4213,7,"稍微"
"筆記",4214,7,"筆記"
"答案",4215,7,"答案"
"絕命",4216,7,"絕命"
"超人",4217,7,"超人"
"超帥",4218,7,"超帥"
"超棒",4219,7,"超棒"
"進攻",4220,7,"進攻"
"進程",4221,7,"進程"
"開庭",4222,7,"開庭"
"開戰",4223,7,"開戰"
"黃昭順",4224,7,"黃昭順"
"園區",4225,7,"園區"
"幹掉",4226,7,"幹掉"
"搞清楚",4227,7,"搞清楚"
"暗黑",4228,7,"暗黑"
"會計",4229,7,"會計"
"滅",4230,7,"滅"
"當事者",4231,7,"當事者"
"腳",4232,7,"腳"
"誠心",4233,7,"誠心"
"誠實",4234,7,"誠實"
"遇",4235,7,"遇"
"過往",4236,7,"過往"
"道路",4237,7,"道路"
"隔離",4238,7,"隔離"
"境界",4239,7,"境界"
"對照",4240,7,"對照"
"摳",4241,7,"摳"
"暨",4242,7,"暨"
"滾蛋",4243,7,"滾蛋"
"瘋狂",4244,7,"瘋狂"
"盡量",4245,7,"盡量"
"綠營",4246,7,"綠營"
"網誌",4247,7,"網誌"
"與否",4248,7,"與否"
"說錯",4249,7,"說錯"
"趕",4250,7,"趕"
"輕易",4251,7,"輕易"
"閣下",4252,7,"閣下"
"價值觀",4253,7,"價值觀"
"增購",4254,7,"增購"
"層級",4255,7,"層級"
"德州",4256,7,"德州"
"撈",4257,7,"撈"
"撐下去",4258,7,"撐下去"
"撫卹金",4259,7,"撫卹金"
"模式",4260,7,"模式"
"潘",4261,7,"潘"
"潰",4262,7,"潰"
"熱情",4263,7,"熱情"
"獎",4264,7,"獎"
"確認",4265,7,"確認"
"稿",4266,7,"稿"
"衝突",4267,7,"衝突"
"豬肉",4268,7,"豬肉"
"賜",4269,7,"賜"
"賠錢",4270,7,"賠錢"
"鄭弘儀",4271,7,"鄭弘儀"
"鄰居",4272,7,"鄰居"
"駕駛",4273,7,"駕駛"
"鬧到",4274,7,"鬧到"
"鬧板",4275,7,"鬧板"
"撼動",4276,7,"撼動"
"擋住",4277,7,"擋住"
"操縱",4278,7,"操縱"
"整肅",4279,7,"整肅"
"曉得",4280,7,"曉得"
"激怒",4281,7,"激怒"
"親友",4282,7,"親友"
"辦公室",4283,7,"辦公室"
"遲早",4284,7,"遲早"
"醒醒",4285,7,"醒醒"
"錯過",4286,7,"錯過"
"隨",4287,7,"隨"
"優秀",4288,7,"優秀"
"濕",4289,7,"濕"
"牆",4290,7,"牆"
"聲明",4291,7,"聲明"
"臆測",4292,7,"臆測"
"舉例",4293,7,"舉例"
"隱版",4294,7,"隱版"
"隱藏",4295,7,"隱藏"
"韓",4296,7,"韓"
"餵",4297,7,"餵"
"檯面",4298,7,"檯面"
"雙方",4299,7,"雙方"
"鞭屍",4300,7,"鞭屍"
"題目",4301,7,"題目"
"爆阿",4302,7,"爆阿"
"鏡頭",4303,7,"鏡頭"
"難以",4304,7,"難以"
"類型",4305,7,"類型"
"譴責",4306,7,"譴責"
"辯",4307,7,"辯"
"辯論",4308,7,"辯論"
"霸凌",4309,7,"霸凌"
"權威",4310,7,"權威"
"權限",4311,7,"權限"
"歡樂",4312,7,"歡樂"
"體制",4313,7,"體制"
"體會",4314,7,"體會"
"鹽鴨",4315,7,"鹽鴨"
"觀望",4316,7,"觀望"
"==",4317,6,"=="
"◎",4318,6,"◎"
"●",4319,6,"●"
"164",4320,6,"164"
"1987",4321,6,"1987"
"1999年",4322,6,"1999年"
"2008年",4323,6,"2008年"
"2011",4324,6,"2011"
"700萬",4325,6,"700萬"
"78",4326,6,"78"
"84",4327,6,"84"
"96年度",4328,6,"96年度"
"AE",4329,6,"AE"
"bennon",4330,6,"bennon"
"boyo",4331,6,"boyo"
"chadtracy",4332,6,"chadtracy"
"CM",4333,6,"CM"
"dpp",4334,6,"dpp"
"facebook",4335,6,"facebook"
"Google",4336,6,"Google"
"GOOGLE",4337,6,"GOOGLE"
"GossipPicket",4338,6,"GossipPicket"
"high",4339,6,"high"
"Hollister",4340,6,"Hollister"
"k",4341,6,"k"
"MIKE",4342,6,"MIKE"
"mikejason",4343,6,"mikejason"
"MS",4344,6,"MS"
"msn",4345,6,"msn"
"n",4346,6,"n"
"NBAdog",4347,6,"NBAdog"
"NV",4348,6,"NV"
"OO",4349,6,"OO"
"OP",4350,6,"OP"
"q",4351,6,"q"
"SEX",4352,6,"SEX"
"sxt",4353,6,"sxt"
"sziwu",4354,6,"sziwu"
"t",4355,6,"t"
"T_T",4356,6,"T_T"
"Tab",4357,6,"Tab"
"takuminauki",4358,6,"takuminauki"
"vs",4359,6,"vs"
"WOW",4360,6,"WOW"
"XDDDDDDDDDDDDDDDDDD",4361,6,"XDDDDDDDDDDDDDDDDDD"
"XDDDDDDDDDDDDDDDDDDD",4362,6,"XDDDDDDDDDDDDDDDDDDD"
"XDDDDDDDDDDDDDDDDDDDDDDD",4363,6,"XDDDDDDDDDDDDDDDDDDDDDDD"
"XDXD",4364,6,"XDXD"
"z",4365,6,"z"
"ξ",4366,6,"ξ"
"ㄚ",4367,6,"ㄚ"
"一天到晚",4368,6,"一天到晚"
"一個樣",4369,6,"一個樣"
"一陣子",4370,6,"一陣子"
"了了",4371,6,"了了"
"人口",4372,6,"人口"
"人推文",4373,6,"人推文"
"上到",4374,6,"上到"
"上海",4375,6,"上海"
"上將",4376,6,"上將"
"下流",4377,6,"下流"
"久多",4378,6,"久多"
"口水",4379,6,"口水"
"口味",4380,6,"口味"
"土豆",4381,6,"土豆"
"大小",4382,6,"大小"
"大喊",4383,6,"大喊"
"大意",4384,6,"大意"
"女性",4385,6,"女性"
"女朋友",4386,6,"女朋友"
"女神",4387,6,"女神"
"小朋友",4388,6,"小朋友"
"小道",4389,6,"小道"
"工廠",4390,6,"工廠"
"不切實際",4391,6,"不切實際"
"不至於",4392,6,"不至於"
"不利",4393,6,"不利"
"不見得",4394,6,"不見得"
"不敢當",4395,6,"不敢當"
"不滿",4396,6,"不滿"
"中職",4397,6,"中職"
"今日",4398,6,"今日"
"公告公告",4399,6,"公告公告"
"公帑",4400,6,"公帑"
"公寓",4401,6,"公寓"
"公園",4402,6,"公園"
"分手",4403,6,"分手"
"升學",4404,6,"升學"
"反過來",4405,6,"反過來"
"天阿",4406,6,"天阿"
"天龍國",4407,6,"天龍國"
"幻想",4408,6,"幻想"
"心聲",4409,6,"心聲"
"手指",4410,6,"手指"
"手槍",4411,6,"手槍"
"欠債",4412,6,"欠債"
"止於",4413,6,"止於"
"火力",4414,6,"火力"
"火車",4415,6,"火車"
"火球",4416,6,"火球"
"父親節",4417,6,"父親節"
"王法",4418,6,"王法"
"世代",4419,6,"世代"
"丙等",4420,6,"丙等"
"主秘",4421,6,"主秘"
"仙女",4422,6,"仙女"
"代替",4423,6,"代替"
"以外",4424,6,"以外"
"以往",4425,6,"以往"
"出手",4426,6,"出手"
"出書",4427,6,"出書"
"功勞",4428,6,"功勞"
"包裝",4429,6,"包裝"
"北海宴",4430,6,"北海宴"
"北捷",4431,6,"北捷"
"北縣",4432,6,"北縣"
"北檢",4433,6,"北檢"
"北韓",4434,6,"北韓"
"可取",4435,6,"可取"
"史",4436,6,"史"
"外國人",4437,6,"外國人"
"失",4438,6,"失"
"市值",4439,6,"市值"
"平台",4440,6,"平台"
"打成",4441,6,"打成"
"打到",4442,6,"打到"
"本土",4443,6,"本土"
"正常人",4444,6,"正常人"
"民主化",4445,6,"民主化"
"民情",4446,6,"民情"
"民黨",4447,6,"民黨"
"永",4448,6,"永"
"犯下",4449,6,"犯下"
"犯罪率",4450,6,"犯罪率"
"瓦斯",4451,6,"瓦斯"
"生死",4452,6,"生死"
"生命權",4453,6,"生命權"
"矛盾",4454,6,"矛盾"
"先進",4455,6,"先進"
"共犯",4456,6,"共犯"
"共識",4457,6,"共識"
"再度",4458,6,"再度"
"列為",4459,6,"列為"
"吃屎",4460,6,"吃屎"
"地位",4461,6,"地位"
"多多",4462,6,"多多"
"好不",4463,6,"好不"
"好友",4464,6,"好友"
"好過",4465,6,"好過"
"好聽",4466,6,"好聽"
"年假",4467,6,"年假"
"式",4468,6,"式"
"收押",4469,6,"收押"
"收假",4470,6,"收假"
"收錢",4471,6,"收錢"
"有限",4472,6,"有限"
"有罪",4473,6,"有罪"
"有請",4474,6,"有請"
"汙水",4475,6,"汙水"
"污",4476,6,"污"
"污水",4477,6,"污水"
"老人",4478,6,"老人"
"老公",4479,6,"老公"
"老胡",4480,6,"老胡"
"考證",4481,6,"考證"
"自從",4482,6,"自從"
"自訴",4483,6,"自訴"
"行程",4484,6,"行程"
"西方",4485,6,"西方"
"位子",4486,6,"位子"
"低落",4487,6,"低落"
"何以",4488,6,"何以"
"你我",4489,6,"你我"
"判例",4490,6,"判例"
"利潤",4491,6,"利潤"
"妨害",4492,6,"妨害"
"宋美齡",4493,6,"宋美齡"
"弄到",4494,6,"弄到"
"志玲",4495,6,"志玲"
"志強",4496,6,"志強"
"志願",4497,6,"志願"
"我等",4498,6,"我等"
"把持",4499,6,"把持"
"抓緊",4500,6,"抓緊"
"投書",4501,6,"投書"
"投票人",4502,6,"投票人"
"抗壓性",4503,6,"抗壓性"
"改天",4504,6,"改天"
"更正",4505,6,"更正"
"李冰",4506,6,"李冰"
"決",4507,6,"決"
"災情",4508,6,"災情"
"牠們",4509,6,"牠們"
"狂推",4510,6,"狂推"
"角度",4511,6,"角度"
"言行",4512,6,"言行"
"言語",4513,6,"言語"
"防止",4514,6,"防止"
"防線",4515,6,"防線"
"防護",4516,6,"防護"
"享受",4517,6,"享受"
"佳",4518,6,"佳"
"兩三",4519,6,"兩三"
"協助",4520,6,"協助"
"取經",4521,6,"取經"
"固定",4522,6,"固定"
"垃圾桶",4523,6,"垃圾桶"
"始終",4524,6,"始終"
"委屈",4525,6,"委屈"
"宜",4526,6,"宜"
"忠實",4527,6,"忠實"
"念書",4528,6,"念書"
"忽然",4529,6,"忽然"
"怕死",4530,6,"怕死"
"怕事",4531,6,"怕事"
"怪物",4532,6,"怪物"
"所有人",4533,6,"所有人"
"放屁",4534,6,"放屁"
"服飾",4535,6,"服飾"
"林兄",4536,6,"林兄"
"果",4537,6,"果"
"況且",4538,6,"況且"
"泯滅",4539,6,"泯滅"
"玩火",4540,6,"玩火"
"直到",4541,6,"直到"
"空白文",4542,6,"空白文"
"肏",4543,6,"肏"
"表面",4544,6,"表面"
"邱",4545,6,"邱"
"金牌",4546,6,"金牌"
"長期",4547,6,"長期"
"青峰",4548,6,"青峰"
"亮票",4549,6,"亮票"
"侵犯",4550,6,"侵犯"
"前途",4551,6,"前途"
"威脅",4552,6,"威脅"
"威權",4553,6,"威權"
"客",4554,6,"客"
"封鎖",4555,6,"封鎖"
"屋",4556,6,"屋"
"建築",4557,6,"建築"
"後世",4558,6,"後世"
"怎麼說",4559,6,"怎麼說"
"急煞",4560,6,"急煞"
"恆",4561,6,"恆"
"恢復",4562,6,"恢復"
"指控",4563,6,"指控"
"政治家",4564,6,"政治家"
"施茂林",4565,6,"施茂林"
"星星",4566,6,"星星"
"查查",4567,6,"查查"
"毒梟",4568,6,"毒梟"
"毒蟲",4569,6,"毒蟲"
"洩漏",4570,6,"洩漏"
"流",4571,6,"流"
"流行",4572,6,"流行"
"流行語",4573,6,"流行語"
"流程",4574,6,"流程"
"皇室",4575,6,"皇室"
"看出",4576,6,"看出"
"看法",4577,6,"看法"
"計時",4578,6,"計時"
"降",4579,6,"降"
"面子",4580,6,"面子"
"風氣",4581,6,"風氣"
"食品",4582,6,"食品"
"香蕉",4583,6,"香蕉"
"個案",4584,6,"個案"
"個體",4585,6,"個體"
"准",4586,6,"准"
"娘親",4587,6,"娘親"
"宵夜文",4588,6,"宵夜文"
"徐",4589,6,"徐"
"恐",4590,6,"恐"
"拳",4591,6,"拳"
"捍衛",4592,6,"捍衛"
"桃太郎",4593,6,"桃太郎"
"桃園",4594,6,"桃園"
"消夜",4595,6,"消夜"
"破處",4596,6,"破處"
"砸",4597,6,"砸"
"祝",4598,6,"祝"
"神豬",4599,6,"神豬"
"租",4600,6,"租"
"站不住腳",4601,6,"站不住腳"
"站出來",4602,6,"站出來"
"紐約",4603,6,"紐約"
"紙巾",4604,6,"紙巾"
"缺乏",4605,6,"缺乏"
"耙子",4606,6,"耙子"
"航空",4607,6,"航空"
"草莓",4608,6,"草莓"
"起飛",4609,6,"起飛"
"起舞",4610,6,"起舞"
"高尚",4611,6,"高尚"
"高招",4612,6,"高招"
"高高",4613,6,"高高"
"做不到",4614,6,"做不到"
"偶爾",4615,6,"偶爾"
"偽證",4616,6,"偽證"
"動機",4617,6,"動機"
"參加",4618,6,"參加"
"參與",4619,6,"參與"
"問候",4620,6,"問候"
"問問",4621,6,"問問"
"堂",4622,6,"堂"
"堵塞",4623,6,"堵塞"
"專用",4624,6,"專用"
"崖崖",4625,6,"崖崖"
"常態",4626,6,"常態"
"康",4627,6,"康"
"得知",4628,6,"得知"
"從不",4629,6,"從不"
"從政",4630,6,"從政"
"情何以堪",4631,6,"情何以堪"
"情治",4632,6,"情治"
"排除",4633,6,"排除"
"推開",4634,6,"推開"
"掩飾",4635,6,"掩飾"
"敗訴",4636,6,"敗訴"
"晚餐",4637,6,"晚餐"
"梁柏薰",4638,6,"梁柏薰"
"欲",4639,6,"欲"
"淪為",4640,6,"淪為"
"深度",4641,6,"深度"
"清晰",4642,6,"清晰"
"清算",4643,6,"清算"
"爽爽爽爽",4644,6,"爽爽爽爽"
"球員",4645,6,"球員"
"眼鏡",4646,6,"眼鏡"
"第3",4647,6,"第3"
"莫非",4648,6,"莫非"
"規格",4649,6,"規格"
"販賣",4650,6,"販賣"
"這時",4651,6,"這時"
"速",4652,6,"速"
"造神",4653,6,"造神"
"連連",4654,6,"連連"
"郭台銘",4655,6,"郭台銘"
"創",4656,6,"創"
"創意",4657,6,"創意"
"創新",4658,6,"創新"
"勝訴",4659,6,"勝訴"
"報警",4660,6,"報警"
"場子",4661,6,"場子"
"場面",4662,6,"場面"
"悲憤",4663,6,"悲憤"
"提及",4664,6,"提及"
"提案",4665,6,"提案"
"插",4666,6,"插"
"景子",4667,6,"景子"
"替代",4668,6,"替代"
"最早",4669,6,"最早"
"渣",4670,6,"渣"
"無間",4671,6,"無間"
"煮",4672,6,"煮"
"猴",4673,6,"猴"
"發達",4674,6,"發達"
"稅",4675,6,"稅"
"等下",4676,6,"等下"
"結合",4677,6,"結合"
"給予",4678,6,"給予"
"裁判",4679,6,"裁判"
"訴諸",4680,6,"訴諸"
"評",4681,6,"評"
"貼文",4682,6,"貼文"
"跌",4683,6,"跌"
"跑到",4684,6,"跑到"
"開燈",4685,6,"開燈"
"集體",4686,6,"集體"
"飯店",4687,6,"飯店"
"黑板",4688,6,"黑板"
"亂掰",4689,6,"亂掰"
"傳出",4690,6,"傳出"
"傳播局",4691,6,"傳播局"
"傷痛",4692,6,"傷痛"
"嫌疑",4693,6,"嫌疑"
"幹嗎",4694,6,"幹嗎"
"微",4695,6,"微"
"惹到",4696,6,"惹到"
"感情",4697,6,"感情"
"搓掉",4698,6,"搓掉"
"搞混",4699,6,"搞混"
"搭配",4700,6,"搭配"
"新版主",4701,6,"新版主"
"暗殺",4702,6,"暗殺"
"會報",4703,6,"會報"
"楊石金",4704,6,"楊石金"
"溝通",4705,6,"溝通"
"照顧",4706,6,"照顧"
"綁",4707,6,"綁"
